Month,Total_Volume
2010-07-31,0.0
2010-08-31,0.0
2010-09-30,0.0
2010-10-31,0.0
2010-11-30,0.0
2010-12-31,0.0
2011-01-31,0.0
2011-02-28,0.0
2011-03-31,0.0
2011-04-30,0.0
2011-05-31,0.0
2011-06-30,0.0
2011-07-31,0.0
2011-08-31,0.0
2011-09-30,0.0
2011-10-31,0.0
2011-11-30,0.0
2011-12-31,0.0
2012-01-31,0.0
2012-02-29,0.0
2012-03-31,0.0
2012-04-30,0.0
2012-05-31,0.0
2012-06-30,0.0
2012-07-31,0.0
2012-08-31,0.0
2012-09-30,0.0
2012-10-31,0.0
2012-11-30,0.0
2012-12-31,0.0
2013-01-31,0.0
2013-02-28,0.0
2013-03-31,0.0
2013-04-30,0.0
2013-05-31,0.0
2013-06-30,0.0
2013-07-31,0.0
2013-08-31,0.0
2013-09-30,0.0
2013-10-31,0.0
2013-11-30,0.0
2013-12-31,165087361.13848242
2014-01-31,1155175117.3940365
2014-02-28,1268411450.1747015
2014-03-31,772538968.3373957
2014-04-30,791092801.4385209
2014-05-31,500324712.63964516
2014-06-30,714211689.8428057
2014-07-31,465906561.79570866
2014-08-31,683374321.7116916
2014-09-30,692854068.3124735
2014-10-31,912297713.787472
2014-11-30,672844858.7537521
2014-12-31,542366503.122645
2015-01-31,1098306914.5540614
2015-02-28,719047994.7306478
2015-03-31,946560059.0558031
2015-04-30,663148090.436874
2015-05-31,576176466.0962377
2015-06-30,615848626.4246845
2015-07-31,1007121273.157415
2015-08-31,909712184.5909504
2015-09-30,579679728.3429337
2015-10-31,901111784.742242
2015-11-30,2145676569.555159
2015-12-31,2035312481.429587
2016-01-31,1803919599.5426154
2016-02-29,1821171750.3851054
2016-03-31,2294922602.7572746
2016-04-30,1693475445.3639987
2016-05-31,2135667240.713579
2016-06-30,4627165659.007211
2016-07-31,3361241524.4599743
2016-08-31,2635622259.0385084
2016-09-30,1971105188.522301
2016-10-31,2043337924.3993797
2016-11-30,2572685381.2133293
2016-12-31,3469919998.412621
2017-01-31,4895400527.053476
2017-02-28,4190569889.7657127
2017-03-31,10629414406.066486
2017-04-30,9556241303.377855
2017-05-31,33841522737.682682
2017-06-30,44451068762.18747
2017-07-31,32195704255.167484
2017-08-31,62577646830.576164
2017-09-30,55705709259.93729
2017-10-31,51388302950.2095
2017-11-30,115454937519.85425
2017-12-31,347460258054.0448
2018-01-31,360101573098.147
2018-02-28,126675137443.49216
2018-03-31,129718131622.31168
2018-04-30,155634239293.91904
2018-05-31,145442595241.0947
2018-06-30,99518997752.52509
2018-07-31,144159368897.00397
2018-08-31,118466712394.56569
2018-09-30,106557699660.57037
2018-10-31,97268664234.7096
2018-11-30,120999964922.57622
2018-12-31,116183681631.27676
2019-01-31,123820573467.94716
2019-02-28,130035707453.68924
2019-03-31,223754752522.86124
2019-04-30,391550290587.30066
2019-05-31,582747600888.3639
2019-06-30,641077927298.0618
2019-07-31,666448679929.4851
2019-08-31,547575053722.79504
2019-09-30,497648885757.23883
2019-10-31,579598532712.1389
2019-11-30,637307894724.3607
2019-12-31,567483556426.217
2020-01-31,783665555279.2306
2020-02-29,955435990877.0902
2020-03-31,1160913306434.0876
2020-04-30,909648212331.9127
2020-05-31,1120628737596.2383
2020-06-30,647633100697.1649
2020-07-31,645771482380.8508
2020-08-31,1052046417447.5182
2020-09-30,1005225960746.8993
2020-10-31,794043533812.7649
2020-11-30,1419460849802.3755
2020-12-31,1942613321796.529
2021-01-31,3562119251390.199
2021-02-28,3571635251695.9937
2021-03-31,3384773039834.955
2021-04-30,3519927870186.205
2021-05-31,3063712995461.3843
2021-06-30,1988836197785.2148
2021-07-31,1752052563327.335
2021-08-31,1980023660404.0195
2021-09-30,1944579156908.882
2021-10-31,2704688238397.4653
2021-11-30,2440107531547.7056
2021-12-31,2630882646483.2695
2022-01-31,2279656515399.1997
2022-02-28,1803000236650.538
2022-03-31,1953388590544.3867
2022-04-30,2051445421345.1592
2022-05-31,2127806463177.1462
2022-06-30,1818023992596.2556
2022-07-31,2066779045401.7976
2022-08-31,1859880059430.2935
2022-09-30,2011608731987.5989
2022-10-31,1906126553986.0667
2022-11-30,2019347224986.933
2022-12-31,1079612186908.4816
2023-01-31,1876865600369.7778
2023-02-28,1841534134629.201
2023-03-31,1733121325565.105
2023-04-30,1200702000303.9182
2023-05-31,1208202426057.928
2023-06-30,1418059035305.258
2023-07-31,1391806378384.1682
2023-08-31,1285327609791.5837
2023-09-30,922904718561.8453
2023-10-31,1467818379105.9475
2023-11-30,2149631479787.567
2023-12-31,1104440292298.9924
2024-01-31,1795968562285.9875
2024-02-29,1311930852087.6133
2024-03-31,2388978893499.1167
2024-04-30,2970707279904.075
